145,Mega Man X3,Iceless,SNES,1995-12-01,50.0
146,Mega Man X2,Trogdor,SNES,1994-12-16,50.0
147,Mega Man ZX Advent,Gymfreak739,DS,2007-10-23,66.0
148,Super Mario Maker,"mitchflowerpower, Andy, xsvArea51, Iateyourpie, GameJ06, usedpizza, Kronicsauce, grandpoobear",Wii U,2015-09-11,60.0
149,Pepsiman,theboyks,PS1,1999-03-04,27.0
150,The Legend of Zelda: Ocarina of Time,dannyb21892,Wii,1998-11-21,225.0
151,Pikmin,Emily Brooks,Wii,2001-10-26,90.0
152,Trauma Center Second Opinion,Irisjoker,Wii,2006-11-19,100.0
153,Child of Light,takaze,PC,2014-04-29,95.0
154,Final Fantasy Adventure,opus,Gameboy,1991-11-01,42.0
155,Aladdin,"Ribbedkilla, Countdown42, pcull44444",SNES,1993-11-11,20.0
156,Typing of the Dead,peaches_,PC,2000-09-23,35.0
157,Diablo 2: Lord of Destruction,MrLlamaSC,PC,2001-06-29,120.0
158,Pokemon Red,"Gunnermaniac3, Keizaron, ExtraTricky, Charlie Armitz",Gameboy,1996-02-27,130.0
159,Final Fantasy VI,bichphuongballz,SNES,1994-04-02,245.0
160,Super Metroid,"oatsngoats, sweetnumb, zoast, Behemoth87",SNES,1994-03-19,48.0
161,Super Mario RPG: Legend of the Seven Stars,LackAttack24,SNES,1996-03-09,180.0
