"name","category","start_time","duration","runners","id","host"
"Prey","Any% — PC","2018-01-11 21:03:00","00:12:17","DrTChops",22597,"theboyks"
"Princess Rescue","any% — Atari 2600","2018-01-13 11:25:00","00:06:43","darbian",14782,
"Prinny 2: Dawn of Operation Panties, Dood!","Hell's Finest — PSP","2018-01-08 07:18:00","00:41:25","PinkPajamas",14712,
"Quantum Conundrum","Any% — PC","2018-01-12 04:27:28","00:45:54","Blood_Thunder",14813,
"Ratchet & Clank","NG+ — PS3","2018-01-07 18:26:00","00:22:51","ThaRixer",14702,
"Rayman","Any% — PSX","2018-01-09 11:56:00","01:21:16","Glackum",14742,
"Resident Evil 3: Nemesis","Any% Race — PC","2018-01-10 06:04:37","00:46:42","Bawkbasoup, wusscake",14755,
"Resident Evil 7 biohazard","New Game Madhouse — PC","2018-01-10 04:05:00","01:49:28","Carcinogen",22545,"Aprilcake"
"Rex Ronan: Experimental Surgeon","any% — SNES","2018-01-11 11:26:00","00:14:36","Linkums",14791,
"Risk of Rain","any% 2x zoom — PC","2018-01-09 09:44:00","00:13:42","scaz.zaf",14738,
"Ristar","Any% — Genesis","2018-01-09 14:25:00","00:31:34","Liz the Goddess",14744,
"Rockman & Forte","Any% Forte — SFC","2018-01-11 19:01:00","00:37:19","Joka",14804,
"Secret of Evermore","Any% — SNES","2018-01-11 15:17:00","01:38:59","MetaSigma",14800,
"Serious Sam 3: BFE","any% — PC","2018-01-09 08:15:10","00:41:48","Kotti",14736,
"Silent Hill","Any% — PSX","2018-01-10 07:14:37","00:47:50","Punchy",14756,
"Snake Rattle 'n Roll","Any% — NES","2018-01-10 15:13:04","00:08:06","dxtr",22413,"e_mister"
"Sonic Advance 3","Best Ending — GBA","2018-01-08 17:55:00","01:25:55","Kirbymastah",14725,
"Sonic Adventure 2: Battle","Hero Story Race — PC","2018-01-08 19:45:00","00:36:03","Seraphim1313, a_moustache",14726,
"Sonic Mania","Sonic & Tails Any% — Switch","2018-01-08 20:45:00","00:53:51","Claris",14727,
"Spelunky","All Shortcuts + Olmec (solo run) — PC","2018-01-12 06:13:28","00:19:16","Kinnijup",22753,"DarkTwinge"
"Spider-Man 3: Invasion of the Spider-Slayers","any% — Game Boy","2018-01-11 09:59:00","00:15:56","KowalLazy",22578,"LLK"
"Splatoon 2","any% — Switch","2018-01-07 18:59:00","01:40:06","TonesBalones",14703,
"Star Fox 2","NG+ Expert — SNES Classic","2018-01-11 18:10:00","00:31:40","zallard1",14803,
"Star Wars: Jedi Knight - Jedi Academy","Any% No SG — PC","2018-01-11 22:16:00","00:44:11","CovertMuffin",14808,
"Strider","Live Tutorial Showcase — NES","2018-01-10 20:08:00","00:36:19","jimmypoopins, darkman78",14777,
"Sub-Terrania","hard any% — Genesis","2018-01-11 10:48:00","00:12:50","Mike Uyama",14789,
"Super Dram World 2","100% — SNES","2018-01-14 04:19:29","00:49:34","grandpoobear",151995,"Skybilz"
"Super Lovely Planet","All Levels — PC","2018-01-09 11:30:00","00:11:52","sigma",14741,
"Superman 64","Any% — N64","2018-01-11 06:08:53","00:36:49","headstrong1290",84779,"YoBGS"
"Super Mario 3D World","Any% — Wii U","2018-01-09 21:28:00","01:51:54","peteyboo",14750,
"Super Mario Galaxy","any% — Wii","2018-01-12 14:17:00","02:36:51","360Chrism",14826,
"Super Mario Land 2: 6 Golden Coins","Any% Glitchless — Game Boy","2018-01-13 10:47:00","00:27:38","slashinfty",14835,
"Super Mario Sunshine","120 Shines — Gamecube","2018-01-11 02:26:24","03:06:29","AverageTrey",14781,
"Super Mario World","No Cape, No Star World Race — SNES","2018-01-14 03:19:40","00:36:49","bjw, Calco2, SilverStar6609, Sten",14846,
"Super Mario World 2: Yoshi's Island","Any% Warpless Race — SNES","2018-01-11 00:13:00","01:46:36","Calco2, Kolthor_TheBarbarian, yamayuu, Poahr",14780,
"Super Monkey Ball","Beginner, Advanced, Expert Stages — Gamecube","2018-01-12 17:14:51","00:23:22","Zela1",14827,
"TAIKER","any% (one-handed) — PC","2018-01-12 08:06:28","00:20:35","halfcoordinated",14819,
"TASBot vs Super Monkey Ball","Any% — Gamecube","2018-01-12 17:53:13","00:13:00","dwangoAC",124797,"Raelcun"
"Teenage Mutant Ninja Turtles","any% — NES","2018-01-10 15:54:04","00:21:49","whitman_price_",14771,
"Teenage Mutant Ninja Turtles: The Hyperstone Heist","any% Hard — Genesis","2018-01-10 16:26:04","00:24:22","Turbo Gilman",14772,
"The Addams Family","all bosses — SNES","2018-01-12 11:36:00","00:28:10","garbanzcurity",14823,
"The Blues Brothers","Any% — NES","2018-01-11 12:23:00","00:06:02","WhiteHat94",22584,"e_mister"
"The Elder Scrolls V: Skyrim","Main Quest — PC","2018-01-07 22:41:26","00:50:26","Wall of Spain",14705,
"The End Is Nigh","Any% — PC","2018-01-12 00:34:00","00:35:51","warm_ham",14809,
"The Legend of the Mystical Ninja","any% 2-player co-op — SNES","2018-01-11 17:03:00","00:32:52","Countdown42, cleartonic",14801,
"The Legend of Zelda","100% No Up+A 3-Way Race — NES","2018-01-13 13:32:43","00:37:43","JSR2gamers, BT, RandomEffekt",14838,
"The Legend of Zelda: A Link to the Past","Randomizer, No Glitches, Open Mode Race — SNES","2018-01-14 01:09:00","01:42:40","Andy, ChristosOwen",14845,
"The Legend of Zelda: Breath of the Wild","All Main Quests (No Amiibo) — Switch","2018-01-14 05:55:03","03:57:00","atz",14847,
"The Legend of Zelda: Ocarina of Time","100% — N64","2018-01-13 02:17:00","04:33:19","ZFG",14831,
"The Simpsons: Bart vs. the Space Mutants","Any% — NES","2018-01-11 11:54:00","00:19:36","TheMexicanRunner",14792,
"Tinertia","any% — PC","2018-01-08 10:25:00","00:15:23","Midboss",14715,
"Tintin in Tibet","any% easy — GBC","2018-01-13 12:51:00","00:20:43","Brossentia",14837,
"Titenic","Beat the Game — NES","2018-01-11 12:50:00","00:10:15","authorblues",14795,
"Turok 2: Seeds of Evil Remastered","any% — PC","2018-01-10 09:00:27","01:14:07","Bismuth",14758,
"Ultima VI: The False Prophet","Any% No Major Glitches — SNES","2018-01-11 14:34:00","00:28:32","squibbons",14799,
"Umihara Kawase","Longest Path — SNES","2018-01-11 17:43:00","00:14:53","bjw",14802,
"Warcraft III: Reign of Chaos","Human Campaign — PC","2018-01-13 16:18:22","00:46:07","sajiki",22631,"Musical_Daredevil"
"Wario Land 4","Normal / Any% (Zipless) — GBA","2018-01-10 21:04:00","00:49:31","00greenbean00",14778,
"Wario's Woods","Hard Difficulty VS COM — SNES","2018-01-08 15:00:00","00:20:27","peteyboo",14723,
"WaveLand","any% — PC","2018-01-08 10:48:00","00:26:53","Stllr",14716,
"Wizards & Warriors","Any% — NES","2018-01-10 12:04:00","00:17:34","DarkTerrex",14762,
"Wonder Boy: The Dragon's Trap","any% Easy — Switch","2018-01-12 12:18:00","00:27:49","tinahacks",14824,
"Yooka-Laylee","any% (No Flight Skip) — PC","2018-01-08 02:05:00","00:28:31","Reyathae",14708,
"Zone of the Enders: The 2nd Runner","Any% Easy — PS3","2018-01-13 11:42:00","00:45:30","tapioca",22627,"KowalLazy"
