"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2018-01-14 10:23:00+00",,79,44,42,44438,2262733.19
"2018-01-14 10:22:00+00",,78,49,33,44438,2262733.19
"2018-01-14 10:21:00+00",,82,37,32,44438,2262733.19
"2018-01-14 10:20:00+00",,48,63,68,44437,2262728.19
"2018-01-14 10:19:00+00",,73,62,70,44437,2262728.19
"2018-01-14 10:18:00+00",,67,57,113,44436,2262698.19
"2018-01-14 10:17:00+00",,89,100,107,44436,2262698.19
"2018-01-14 10:16:00+00",136058,116,138,154,44436,2262698.19
"2018-01-14 10:15:00+00",136058,132,152,146,44436,2262698.19
"2018-01-14 10:14:00+00",136058,131,260,368,44436,2262698.19
"2018-01-14 10:13:00+00",136058,169,430,548,44436,2262698.19
"2018-01-14 10:12:00+00",136058,180,581,402,44435,2262688.19
"2018-01-14 10:11:00+00",136058,177,213,179,44435,2262688.19
"2018-01-14 10:10:00+00",139935,249,329,447,44434,2262663.19
"2018-01-14 10:09:00+00",139935,151,594,1068,44433,2262658.19
"2018-01-14 10:08:00+00",143266,77,244,471,44431,2262628.19
"2018-01-14 10:07:00+00",143502,86,202,440,44430,2262603.19
"2018-01-14 10:06:00+00",151522,124,262,541,44428,2262253.19
"2018-01-14 10:05:00+00",151913,123,569,1424,44426,2262128.19
"2018-01-14 10:04:00+00",151913,106,392,1021,44424,2262098.19
"2018-01-14 10:03:00+00",151852,174,465,1579,44418,2261883.19
"2018-01-14 10:02:00+00",153813,255,324,831,44415,2261838.19
"2018-01-14 10:01:00+00",157289,45,558,1323,44413,2261823.19
"2018-01-14 10:00:00+00",157289,27,608,1091,44409,2153630.87
"2018-01-14 09:59:00+00",162120,51,410,468,44398,2153365.87
"2018-01-14 09:58:00+00",164003,44,293,650,44398,2153365.87
"2018-01-14 09:57:00+00",164867,46,280,433,44392,2153250.87
"2018-01-14 09:56:00+00",163736,60,245,481,44377,2152790.87
"2018-01-14 09:55:00+00",163451,52,366,1286,44362,2152165.87
"2018-01-14 09:54:00+00",162404,36,451,1657,44339,2151765.87
"2018-01-14 09:53:00+00",162404,22,215,261,44317,2150920.87
"2018-01-14 09:52:00+00",161365,20,234,305,44305,2150545.87
"2018-01-14 09:51:00+00",161411,16,198,335,44292,2150185.87
"2018-01-14 09:50:00+00",161693,18,190,253,44280,2149085.87
"2018-01-14 09:49:00+00",161693,17,166,211,44265,2148794.87
"2018-01-14 09:48:00+00",160397,28,285,414,44236,2147874.85
"2018-01-14 09:46:00+00",159970,15,303,497,44219,2147224.85
"2018-01-14 09:45:00+00",160486,14,162,430,44195,2146780.85
"2018-01-14 09:44:00+00",160325,23,207,494,44173,2146400.78
"2018-01-14 09:43:00+00",159340,23,164,255,44142,2145114.27
"2018-01-14 09:42:00+00",159189,24,164,194,44093,2143794.14
"2018-01-14 09:41:00+00",159189,16,180,245,44044,2142484.38
"2018-01-14 09:40:00+00",158638,11,124,138,43970,2140209.38
"2018-01-14 09:39:00+00",159231,16,150,208,43886,2138464.48
"2018-01-14 09:38:00+00",158439,17,139,124,43820,2136991.37
"2018-01-14 09:37:00+00",158225,12,206,364,43774,2136041.37
"2018-01-14 09:36:00+00",158225,13,94,86,43739,2134176.39
"2018-01-14 09:35:00+00",157445,16,121,146,43709,2133316.39
"2018-01-14 09:34:00+00",157098,18,161,223,43693,2132504.39
"2018-01-14 09:33:00+00",157071,10,78,43,43673,2131894.39
"2018-01-14 09:32:00+00",156028,12,113,95,43650,2131434.39
"2018-01-14 09:31:00+00",156028,11,74,62,43625,2130669.39
"2018-01-14 09:30:00+00",156208,7,68,67,43584,2129747.39
"2018-01-14 09:29:00+00",156208,17,133,116,43557,2129112.36
"2018-01-14 09:28:00+00",155871,18,128,149,43540,2128357.36
"2018-01-14 09:27:00+00",154743,17,75,62,43503,2126983.33
"2018-01-14 09:26:00+00",154414,17,204,252,43437,2125515.38
