"name","category","start_time","duration","runners","host","id"
"Half-Life","Any% — PC","2018-06-29 06:38:00","00:32:29","ProtoAus","theboyks",117382
"Wave Race: Blue Storm","Normal Circuit (No Retire) — Gamecube","2018-06-29 07:26:00","00:11:21","Pearstrike","Arlynia",111
"Runbow","Bowhemoth — Wii U","2018-06-29 07:59:00","00:16:21","MooMooAkai, MunchaKoopas","Arlynia",112
"Borderlands: the Pre-Sequel!","Co-op Any% — PC","2018-06-29 08:32:00","01:56:46","Shockwve, Amyrlinn","Prolix",113
"Bionic Commando","any% — PC","2018-06-29 11:07:00","01:02:29","MURPHAGATOR!","DarkTwinge",114
"Bound","Any% — PS4","2018-06-29 12:31:00","00:30:15","chuckles825","DarkTwinge",115
"Bionic Commando Rearmed 2","Any% — Xbox One","2018-06-29 18:44:31","01:01:37","PJ","LLK",30784
"TASBot Plays Celeste","Any% TAS by DevilSquirrel, KDT, and Kilaye — PC","2018-06-30 03:32:33","00:34:19","dwangoAC","Raelcun",136276
"Kirby's Adventure","100% No Major Glitches — NES","2018-06-30 15:05:00","00:49:06","swordsmankirby","Protomagicalgirl",148601
"The Legend of Zelda: Ocarina of Time","Bingo — N64","2018-06-30 21:12:00","01:13:06","Runnerguy2489","Prolix",145
"Kid Chameleon","4 Boss — Genesis","2018-06-26 15:54:00","00:28:05","peaches","MisterGameandShout",65
"Castlevania","Any% — NES","2018-06-26 16:44:55","00:12:59","Komrade","Yen24",52
"Castlevania III","Sypha Route — NES","2018-06-26 17:06:01","00:31:51","MikeKanis","Prolix",53
"Castlevania: Bloodlines","John Morris or Eric Lecarde Any% Expert Difficulty — Genesis","2018-06-26 17:46:09","00:30:30","Klaige","Prolix",54
"Castlevania: Circle of the Moon","All Bosses — GBA","2018-06-26 18:26:30","00:28:10","darrenville","Prolix",55
"Dragon Warrior III","Any% — NES","2018-06-26 19:16:50","01:09:55","vaxherd","Prolix",56
"Sonic Adventure DX: Director's Cut","Sonic's Story — PC","2018-06-26 20:40:30","00:33:32","JustFlandre","Lizstar",57
"Sonic Spinball","any% — Genesis","2018-06-26 21:30:30","00:16:53","Zaxon96","Lizstar",58
"Sonic the Hedgehog 2","Sonic — Genesis","2018-06-26 21:56:00","00:23:37","mike89","Lizstar",59
"Metroid: Zero Mission","100% Normal Race — GBA","2018-06-26 23:57:38","01:12:17","samthedigital, Dragonfangs, john_unfil, CScottyW","MapleSR",60
"Metroid Samus Returns","Any% — 3DS","2018-06-27 01:40:43","01:47:35","Mr_Shasta","MapleSR",61
"Super Metroid","100% Map Completion — SNES","2018-06-27 03:39:25","01:24:16","oatsngoats","Agama",62
"Halo 2","Legendary — Xbox","2018-06-27 05:20:00","01:40:39","Ranabundana","Agama",63
"The Legend of Zelda: Skyward Sword","Any% — Wii","2018-06-27 07:13:00","05:04:42","gymnast86","Calyrica",64
"Splatterhouse 2","any% — Genesis","2018-06-27 12:55:00","00:17:41","zallard1","Yen24",51
"Wiz 'n' Liz: The Frantic Wabbit Wescue","Wizard — Genesis","2018-06-27 13:30:00","00:11:56","SilverDile","MisterGameandShout",66
"Sylvan Tale","100% — Game Gear","2018-06-27 13:57:00","01:01:18","Omnigamer","Sooraya",67
"Super Monkey Ball 2","Story Mode All Levels — Wii","2018-06-27 15:11:00","00:33:18","Yutori","Sooraya",68
"Spider-Man: Web of Fire","Beat the Game — 32X","2018-06-27 16:36:00","00:08:26","PeteDorr","Sooraya",69
"Spider-Man & Venom's Maximum Carnage","any% — SNES","2018-06-27 17:04:00","00:19:19","Ninjaofsorts","Sooraya",70
"Batman Returns","Mania — SNES","2018-06-27 17:32:00","00:25:20","LRock","Arlynia",71
"Contra: Shattered Soldier","Any% All Stages Race — PS2","2018-06-27 18:20:00","00:30:37","Aquas, TheDrifter18, Crak Atak","Arlynia",72
"High Hell","Any% — PC","2018-06-27 19:13:00","00:09:29","SNeaky","Arlynia",73
"Shadow Warrior Classic Redux","Any% no ssl — PC","2018-06-27 19:33:00","00:15:37","Ignite","CovertMuffin",74
"Sublevel Zero Redux","Normal Any% — PC","2018-06-27 19:57:00","00:25:25","roncli","CovertMuffin",75
"Metal Gear Solid: The Twin Snakes","Extreme — Gamecube","2018-06-27 21:28:00","01:04:39","plywood","SakuraTsubasa",77
"The Legend of Zelda: Four Swords Adventures","Any% — Gamecube","2018-06-27 22:48:00","02:08:59","Zmaster91","SakuraTsubasa",78
"Live","Beat the Game — PC","2018-06-28 08:30:00","00:08:00","LifeL1ke","FrenchToast",86
"Undertale","All Yellow Credits — PC","2018-06-30 17:31:57","01:36:10","SnowieY101","SakuraTsubasa",149819
"Super Mario Odyssey","Any% — Switch","2018-06-30 22:52:54","01:03:58","NicroVeda","Prolix",153014
"Final Fantasy VI","Glitchless 100% (All Characters & Espers) — SNES","2018-07-01 00:20:54","07:00:00","puwexil","CovertMuffin/Nikasaur",155004
"Catherine","Babel Pairs 1 Player 2 Controllers — PS3","2018-06-29 13:14:00","00:29:12","Ghoul02","DarkTwinge",116
"Double Dragon","Any% — NES","2018-06-29 13:53:00","00:12:04","LRock","TokyoScarab",117
"Double Dragon II: The Revenge","any% — NES","2018-06-29 14:15:00","00:13:01","sinister1","TokyoScarab",118
"Golden Axe","Tyris Flare — Genesis","2018-06-29 14:37:00","00:08:33","InTheMug","TokyoScarab",119
"Streets of Rage 2","Mania% — Genesis","2018-06-29 14:54:00","00:51:46","Anthopants","TokyoScarab",120
"Rockman No-Constancy","any% normal — NES","2018-06-29 15:59:14","00:35:35","Kuumba","Protomagicalgirl",121
"Mega Man 7","any% — SNES","2018-06-29 16:43:25","00:42:13","almondcity","Protomagicalgirl",122
"Mega Man 8","Any% Race — PSX","2018-06-29 17:40:47","00:51:29","orsa, cleartonic","Protomagicalgirl",123
"Goof Troop","Co-Op — SNES","2018-06-29 20:04:23","00:18:53","swordsmankirby, Bbforky","LLK",125
"Kingdom Hearts HD 1.5 ReMix (KH1FM)","Any% (Level 1 Proud Mode) — PS4","2018-06-29 20:51:23","02:45:37","mistmaster1","SakuraTsubasa",126
"Super Mario 64","70 star race — N64","2018-06-30 00:19:23","00:52:47","Puncayshun, cheese05","YellowKillerBee",127
"The Legend of Zelda: The Wind Waker HD","Any% — Wii U","2018-06-30 01:33:13","01:28:27","Linkus7","YellowKillerBee",128
