"name","category","start_time","duration","runners","host","id"
"Mega Man 4-6","Any% Relay — NES","2020-01-09 06:06:00","01:51:31","ohon, becored, DarkTerrex, Ppotdot1, FeralPigMan, Resistingframe, Sagehero, lookintoad, Notriley4","Edobean",68
"Animorphs (GBC)","125% — GBC","2020-01-09 08:15:00","00:52:31","Keizaron","Edobean",88736
"Super Hydlide","any% — Genesis","2020-01-09 09:23:00","00:53:13","Mike Uyama","Patty",70
"Hoshi wo Miru Hito","any% 1 player 2 controllers — Famicom","2020-01-09 10:28:00","00:47:08","dowolf","Patty",71
"Sword of the Black Stone","All Bosses & Companions — PC","2020-01-09 11:26:00","00:13:06","authorblues","Patty",72
"Castle of Dragon","Any% — NES","2020-01-09 11:46:00","00:11:16","Apollo22237","Patty",73
"Wild Animal Sports Day","600% Relay — PC","2020-01-09 12:05:00","00:07:42","Zic3, Bullets, SNeaky, Scrublord","Patty",74
"The Adventures of Rocky and Bullwinkle and Friends","any% — NES","2020-01-09 12:19:00","00:04:48","coolkid","YoBGS",75
"Jurassic Park III: Dino Defender","Any% — PC","2020-01-09 12:30:00","00:16:06","Winslinator","YoBGS",76
"Cybergenic Ranger: Secret of the Seventh Planet","1 time% — PC","2020-01-09 12:54:00","00:27:15","NPC","YoBGS",77
"Miracle Ropit's Adventure in 2100","Warpless 1-Loop — NES","2020-01-09 13:54:00","00:20:09","Smartball","YoBGS",79
"Barbie","Any% Race — NES","2020-01-09 14:24:00","00:13:46","sharif, cajink87","YoBGS",80
"Doctor Hauzer","Any% — 3DO","2020-01-09 15:12:00","00:19:34","PeteDorr","Raelcun",82
"Nightcry","Two Survivors — PC","2020-01-09 15:39:00","00:50:51","Ecdycis","Raelcun",83
"Fatal Frame","Any% Normal — PS2","2020-01-09 16:46:00","01:16:49","Maxylobes","KrunchyLex",84
"Pokemon X/Y","Any% — 3DS","2020-01-10 17:06:00","04:04:01","wartab","Geeketiquette",90421
"Super Mario Maker 2 TAS","TAS — Switch","2020-01-12 03:00:00","00:10:00","TASBot","Skybilz",144106
"The Legend of Zelda: Link's Awakening (2019)","Any% — Switch","2020-01-12 03:20:00","01:17:08","TGH","SporadicErratic",144107
"Super Metroid Impossible","Any% — SNES","2020-01-12 05:04:00","02:23:42","Oatsngoats","AnEternalEnigma",137
"Chameleon Twist 2","any% — N64","2020-01-06 08:37:00","00:27:54","Necrocopter","Patty",14
"Razor Freestyle Scooter","Any% — N64","2020-01-06 09:13:00","00:10:52","tapioca","Patty",15
"Tetrisphere","Rescue 5-10 — N64","2020-01-06 09:31:00","00:33:17","FFR Pro 21","Patty",16
"Mario & Luigi: Superstar Saga","All Bosses Co-op — GBA","2020-01-06 10:22:00","02:38:32","Sjorec, murmilio","LT_Humphrey",17
"Skyblazer","any% — SNES","2020-01-06 13:20:00","00:26:54","Omnigamer","Lizstar",18
"The Legend of the Mystical Ninja","Low% Race — SNES","2020-01-06 14:02:00","00:31:17","KLM1187, Teleo1","Lizstar",19
"ActRaiser","Professional! Mode Race — SNES","2020-01-06 14:55:00","00:24:49","metroidmcfly, sYn","Lizstar",20
"Battletoads & Double Dragon","Any% — SNES","2020-01-06 15:35:00","00:19:45","colin","Lizstar",21
"The Great Circus Mystery Starring Mickey & Minnie","Any% Normal — SNES","2020-01-06 16:14:00","00:23:20","KingRhodesTn","Lizstar",22
"Donkey Kong Country 3","103% — SNES","2020-01-06 16:58:00","01:55:26","V0oid","Skybilz",23
