"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2019-06-30 11:24:00+00",,9,0,0,50895,3005228.87
"2019-06-30 11:23:00+00",,15,0,0,50895,3005228.87
"2019-06-30 11:22:00+00",,6,0,0,50895,3005228.87
"2019-06-30 11:21:00+00",,13,0,0,50895,3005228.87
"2019-06-30 11:20:00+00",,12,0,0,50895,3005228.87
"2019-06-30 11:19:00+00",,6,0,0,50895,3005228.87
"2019-06-30 11:18:00+00",,6,0,0,50895,3005228.87
"2019-06-30 11:17:00+00",,5,2,0,50895,3005228.87
"2019-06-30 11:16:00+00",,6,0,0,50895,3005228.87
"2019-06-30 11:15:00+00",,8,0,0,50895,3005228.87
"2019-06-30 11:14:00+00",,18,0,0,50895,3005228.87
"2019-06-30 11:13:00+00",,8,2,1,50895,3005228.87
"2019-06-30 11:12:00+00",,13,1,0,50895,3005228.87
"2019-06-30 11:11:00+00",,10,4,1,50895,3005228.87
"2019-06-30 11:10:00+00",,12,4,2,50895,3005228.87
"2019-06-30 11:09:00+00",,8,2,2,50895,3005228.87
"2019-06-30 11:08:00+00",,8,1,1,50895,3005228.87
"2019-06-30 11:07:00+00",,11,0,0,50895,3005228.87
"2019-06-30 11:06:00+00",,6,0,0,50895,3005228.87
"2019-06-30 11:05:00+00",,12,0,0,50895,3005228.87
"2019-06-30 11:04:00+00",,9,0,0,50895,3005228.87
"2019-06-30 11:03:00+00",,13,0,0,50895,3005228.87
"2019-06-30 11:02:00+00",,10,0,0,50895,3005228.87
"2019-06-30 11:01:00+00",,6,0,0,50895,3005228.87
"2019-06-30 11:00:00+00",,11,0,0,50895,3005228.87
"2019-06-30 10:59:00+00",,5,0,0,50895,3005228.87
"2019-06-30 10:58:00+00",,12,0,0,50895,3005228.87
"2019-06-30 10:57:00+00",,4,0,0,50895,3005228.87
"2019-06-30 10:56:00+00",,5,0,0,50895,3005228.87
"2019-06-30 10:55:00+00",,8,0,0,50895,3005228.87
"2019-06-30 10:54:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:53:00+00",,8,2,0,50895,3005228.87
"2019-06-30 10:52:00+00",,11,2,0,50895,3005228.87
"2019-06-30 10:51:00+00",,7,0,0,50895,3005228.87
"2019-06-30 10:50:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:49:00+00",,6,0,0,50895,3005228.87
"2019-06-30 10:48:00+00",,3,0,0,50895,3005228.87
"2019-06-30 10:47:00+00",,9,1,0,50895,3005228.87
"2019-06-30 10:46:00+00",,14,0,0,50895,3005228.87
"2019-06-30 10:45:00+00",,12,0,0,50895,3005228.87
"2019-06-30 10:44:00+00",,7,0,0,50895,3005228.87
"2019-06-30 10:43:00+00",,6,0,0,50895,3005228.87
"2019-06-30 10:42:00+00",,5,0,0,50895,3005228.87
"2019-06-30 10:41:00+00",,9,0,0,50895,3005228.87
"2019-06-30 10:40:00+00",,8,0,0,50895,3005228.87
"2019-06-30 10:39:00+00",,5,0,0,50895,3005228.87
"2019-06-30 10:38:00+00",,12,0,0,50895,3005228.87
"2019-06-30 10:37:00+00",,6,0,0,50895,3005228.87
"2019-06-30 10:36:00+00",,8,0,0,50895,3005228.87
"2019-06-30 10:35:00+00",,13,0,0,50895,3005228.87
"2019-06-30 10:34:00+00",,5,0,0,50895,3005228.87
"2019-06-30 10:33:00+00",,8,0,0,50895,3005228.87
"2019-06-30 10:32:00+00",,6,0,0,50895,3005228.87
"2019-06-30 10:31:00+00",,9,0,0,50895,3005228.87
"2019-06-30 10:30:00+00",,8,0,0,50895,3005228.87
"2019-06-30 10:29:00+00",,9,0,0,50895,3005228.87
"2019-06-30 10:28:00+00",,7,0,0,50895,3005228.87
"2019-06-30 10:27:00+00",,11,0,0,50895,3005228.87
"2019-06-30 10:26:00+00",,5,0,0,50895,3005228.87
"2019-06-30 10:25:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:24:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:23:00+00",,12,2,0,50895,3005228.87
"2019-06-30 10:22:00+00",,9,1,0,50895,3005228.87
"2019-06-30 10:21:00+00",,9,0,0,50895,3005228.87
"2019-06-30 10:20:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:19:00+00",,9,1,1,50895,3005228.87
"2019-06-30 10:18:00+00",,6,0,0,50895,3005228.87
"2019-06-30 10:17:00+00",,8,1,0,50895,3005228.87
"2019-06-30 10:16:00+00",,8,1,0,50895,3005228.87
"2019-06-30 10:15:00+00",,12,0,0,50895,3005228.87
"2019-06-30 10:14:00+00",,11,0,0,50895,3005228.87
"2019-06-30 10:13:00+00",,13,0,0,50895,3005228.87
"2019-06-30 10:12:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:11:00+00",,4,0,0,50895,3005228.87
"2019-06-30 10:10:00+00",,4,0,0,50895,3005228.87
"2019-06-30 10:09:00+00",,9,0,0,50895,3005228.87
"2019-06-30 10:08:00+00",,10,0,0,50895,3005228.87
"2019-06-30 10:07:00+00",,7,0,0,50895,3005228.87
"2019-06-30 10:06:00+00",,12,0,0,50895,3005228.87
"2019-06-30 10:04:00+00",,15,0,0,50895,3005228.87
"2019-06-30 10:03:00+00",,15,0,0,50895,3005228.87
"2019-06-30 10:02:00+00",,8,1,0,50895,3005228.87
"2019-06-30 10:01:00+00",,4,0,0,50895,3005228.87
"2019-06-30 10:00:00+00",,6,1,1,50895,3005228.87
"2019-06-30 09:59:00+00",,9,0,0,50895,3005228.87
"2019-06-30 09:58:00+00",,12,0,0,50895,3005228.87
"2019-06-30 09:57:00+00",,9,0,0,50895,3005228.87
"2019-06-30 09:56:00+00",,7,0,0,50895,3005228.87
"2019-06-30 09:55:00+00",,6,1,0,50895,3005228.87
"2019-06-30 09:54:00+00",,11,0,0,50895,3005228.87
"2019-06-30 09:53:00+00",,10,0,0,50895,3005228.87
"2019-06-30 09:52:00+00",,10,0,0,50895,3005228.87
"2019-06-30 09:51:00+00",,7,0,0,50894,3005203.87
"2019-06-30 09:50:00+00",,8,0,0,50894,3005203.87
"2019-06-30 09:49:00+00",,14,0,0,50894,3005203.87
"2019-06-30 09:48:00+00",,11,0,0,50894,3005203.87
"2019-06-30 09:47:00+00",,14,0,0,50894,3005203.87
"2019-06-30 09:46:00+00",,7,0,0,50894,3005203.87
"2019-06-30 09:45:00+00",,12,0,0,50893,3005198.87
"2019-06-30 09:44:00+00",,8,0,0,50893,3005198.87
"2019-06-30 09:43:00+00",,6,0,0,50893,3005198.87
"2019-06-30 09:42:00+00",,6,2,0,50893,3005198.87
"2019-06-30 09:41:00+00",,12,0,0,50893,3005198.87
"2019-06-30 09:40:00+00",,10,0,0,50892,3005188.87
"2019-06-30 09:39:00+00",,9,0,0,50892,3005188.87
"2019-06-30 09:38:00+00",,15,0,0,50892,3005188.87
"2019-06-30 09:37:00+00",,15,0,0,50892,3005188.87
"2019-06-30 09:36:00+00",,16,0,0,50892,3005188.87
"2019-06-30 09:35:00+00",,9,0,0,50892,3005188.87
"2019-06-30 09:34:00+00",,8,0,0,50892,3005188.87
"2019-06-30 09:33:00+00",,5,0,0,50892,3005188.87
"2019-06-30 09:32:00+00",,10,1,0,50892,3005188.87
"2019-06-30 09:31:00+00",,8,0,0,50892,3005188.87
"2019-06-30 09:30:00+00",,9,0,0,50892,3005188.87
"2019-06-30 09:29:00+00",,15,0,0,50892,3005188.87
"2019-06-30 09:28:00+00",,18,0,0,50892,3005188.87
"2019-06-30 09:27:00+00",,12,0,0,50891,3005138.87
"2019-06-30 09:26:00+00",,9,0,0,50891,3005138.87
"2019-06-30 09:25:00+00",,11,0,0,50891,3005138.87
"2019-06-30 09:24:00+00",,4,0,0,50891,3005138.87
"2019-06-30 09:23:00+00",,6,0,0,50891,3005138.87
"2019-06-30 09:22:00+00",,16,2,0,50891,3005138.87
"2019-06-30 09:21:00+00",,12,2,0,50891,3005138.87
"2019-06-30 09:20:00+00",,10,0,0,50891,3005138.87
"2019-06-30 09:19:00+00",,9,1,0,50891,3005138.87
"2019-06-30 09:18:00+00",,11,0,0,50890,3005113.87
"2019-06-30 09:17:00+00",,15,0,0,50890,3005113.87
"2019-06-30 09:16:00+00",,9,0,0,50890,3005113.87
"2019-06-30 09:15:00+00",,4,0,0,50890,3005113.87
"2019-06-30 09:14:00+00",,7,0,0,50890,3005113.87
"2019-06-30 09:13:00+00",,15,1,0,50890,3005113.87
"2019-06-30 09:12:00+00",,7,0,0,50890,3005113.87
"2019-06-30 09:11:00+00",,8,0,0,50890,3005113.87
"2019-06-30 09:10:00+00",,13,0,0,50890,3005113.87
"2019-06-30 09:09:00+00",,13,0,0,50890,3005113.87
"2019-06-30 09:08:00+00",,14,0,0,50890,3005113.87
"2019-06-30 09:07:00+00",,15,0,0,50890,3005113.87
"2019-06-30 09:06:00+00",,15,0,0,50890,3005113.87
"2019-06-30 09:05:00+00",,13,1,0,50890,3005113.87
"2019-06-30 09:04:00+00",,14,0,0,50890,3005113.87
"2019-06-30 09:03:00+00",,9,0,0,50890,3005113.87
"2019-06-30 09:02:00+00",,23,0,0,50889,3005103.87
"2019-06-30 09:01:00+00",,18,0,0,50889,3005103.87
"2019-06-30 09:00:00+00",,12,1,0,50889,3005103.87
"2019-06-30 08:59:00+00",,9,1,0,50889,3005103.87
"2019-06-30 08:58:00+00",,11,0,0,50889,3005103.87
"2019-06-30 08:57:00+00",,12,0,0,50889,3005103.87
"2019-06-30 08:56:00+00",,15,0,0,50889,3005103.87
"2019-06-30 08:55:00+00",,8,0,0,50889,3005103.87
"2019-06-30 08:54:00+00",,8,0,0,50889,3005103.87
"2019-06-30 08:53:00+00",,20,0,0,50889,3005103.87
"2019-06-30 08:52:00+00",,13,0,0,50889,3005103.87
"2019-06-30 08:51:00+00",,12,1,0,50889,3005103.87
"2019-06-30 08:50:00+00",,11,0,0,50889,3005103.87
"2019-06-30 08:49:00+00",,13,2,0,50889,3005103.87
"2019-06-30 08:48:00+00",,7,3,0,50889,3005103.87
"2019-06-30 08:47:00+00",,16,0,0,50889,3005103.87
"2019-06-30 08:46:00+00",,18,0,0,50889,3005103.87
"2019-06-30 08:45:00+00",,9,0,0,50889,3005103.87
"2019-06-30 08:44:00+00",,8,0,0,50889,3005103.87
"2019-06-30 08:43:00+00",,13,0,0,50889,3005103.87
"2019-06-30 08:42:00+00",,11,1,0,50889,3005103.87
"2019-06-30 08:41:00+00",,10,0,0,50889,3005103.87
"2019-06-30 08:40:00+00",,14,0,0,50889,3005103.87
"2019-06-30 08:39:00+00",,15,2,0,50889,3005103.87
"2019-06-30 08:38:00+00",,14,0,0,50889,3005103.87
"2019-06-30 08:37:00+00",,11,0,0,50889,3005103.87
"2019-06-30 08:36:00+00",,19,0,0,50889,3005103.87
"2019-06-30 08:35:00+00",,16,2,0,50889,3005103.87
